image_name,entity_name,expected_value,extracted_value
61I9XdN6OFL.jpg,item_weight,500.0 gram,No match found
71gSRbyXmoL.jpg,item_volume,1.0 cup,No match found
61BZ4zrjZXL.jpg,item_weight,0.709 gram,109g
612mrlqiI4L.jpg,item_weight,0.709 gram,No match found
617Tl40LOXL.jpg,item_weight,1400 milligram,No match found
61QsBSE7jgL.jpg,item_weight,1400 milligram,1400mg
81xsq6vf2qL.jpg,item_weight,1400 milligram,No match found
71DiLRHeZdL.jpg,item_weight,1400 milligram,No match found
91Cma3RzseL.jpg,item_weight,1400 milligram,No match found
71jBLhmTNlL.jpg,item_weight,1400 milligram,No match found
81N73b5khVL.jpg,item_weight,30.0 kilogram,No match found
61oMj2iXOuL.jpg,item_weight,10 kilogram to 15 kilogram,10kg
91LPf6OjV9L.jpg,item_weight,3.53 ounce,No match found
81fOxWWWKYL.jpg,item_weight,3.53 ounce,No match found
81dzao1Ob4L.jpg,item_weight,53 ounce,No match found
91-iahVGEDL.jpg,item_weight,100 gram,No match found
81S2+GnYpTL.jpg,item_weight,200 gram,No match found
81e2YtCOKvL.jpg,item_weight,1 kilogram,No match found
81RNsNEM1EL.jpg,item_weight,200 gram,No match found
91prZeizZnL.jpg,item_weight,200 gram,No match found
31EvJszFVfL.jpg,item_weight,200 gram,No match found
61wzlucTREL.jpg,item_volume,4.0 gallon,No match found
61sQ+qAKr4L.jpg,item_weight,2.7 gram,No match found
81x77l2T5NL.jpg,item_weight,112 gram,No match found
71nywfWZUwL.jpg,item_weight,4.1 kilogram,No match found
71nywfWZUwL.jpg,voltage,48.0 volt,No match found
51WsuKKAVrL.jpg,item_weight,158.0 gram,No match found
61XGDKap+JL.jpg,item_weight,158.0 gram,No match found
715vVcWJxGL.jpg,item_weight,5000 milligram,No match found
613v+2W4UwL.jpg,item_weight,18.55 gram,No match found
71+fn9TWQmL.jpg,item_weight,18.55 gram,No match found
71aKgRRQ2wL.jpg,item_weight,18.55 gram,No match found
71rKXZJrh4L.jpg,item_weight,18.55 gram,No match found
71D824lbRvL.jpg,item_weight,18.55 gram,No match found
71004c9tzfL.jpg,item_weight,50.0 gram,No match found
51bQPPtMqYL.jpg,item_weight,26.0 gram,No match found
61o2ntPNNgL.jpg,wattage,800.0 watt,No match found
61o2ntPNNgL.jpg,voltage,36.0 volt,No match found
71IUuTJ8QwL.jpg,item_weight,330.0 pound,No match found
915JHkwtcrL.jpg,item_weight,31.0 ounce,No match found
71cjrYndwIL.jpg,item_weight,0.35 ounce,No match found
81hnk2WXO3L.jpg,item_weight,35.0 gram,No match found
61HXgujoxpL.jpg,wattage,150.0 watt,No match found
613G8GOyLSL.jpg,wattage,150.0 watt,No match found
71YyZ2iPyZL.jpg,wattage,30.0 watt,No match found
81K3JwUCnQL.jpg,wattage,30.0 watt,No match found
41wvffSxB4L.jpg,item_weight,15.5 gram,No match found
91cErO-KbLL.jpg,item_weight,200.0 gram,No match found
817vo3DcCNL.jpg,wattage,250.0 watt,No match found
61AHQ35poHL.jpg,item_volume,10.0 ounce,No match found
61WFh8RCQYL.jpg,item_weight,0.8 kilogram,No match found
711SATIDrmL.jpg,item_weight,169.0 gram,No match found
61x6RSjwQIL.jpg,item_weight,10.0 gram,No match found
613BeFNwHcL.jpg,item_weight,7.0 gram,No match found
61hWZdkq6WL.jpg,item_weight,750.0 gram,No match found
71E7CU55dcL.jpg,item_weight,160.0 gram,No match found
61c+hSNnnZL.jpg,item_weight,270.0 gram,No match found
915w0BdW-gL.jpg,item_weight,500 gram,No match found
